category,reason,user_transaction_id,exchange_transaction_id,user_asset,exchange_asset,user_timestamp,exchange_timestamp
MATCHED,Matched within tolerance,USR-001,EXC-1001,BTC,BTC,2024-03-01T09:00:00.000Z,2024-03-01T09:00:32.000Z
MATCHED,Matched within tolerance,USR-002,EXC-1002,ETH,ETH,2024-03-01T11:30:00.000Z,2024-03-01T11:30:00.000Z
MATCHED,Matched within tolerance,USR-003,EXC-1003,BTC,BTC,2024-03-02T08:15:00.000Z,2024-03-02T08:15:10.000Z
MATCHED,Matched within tolerance,USR-004,EXC-1004,ETH,ETH,2024-03-02T14:45:00.000Z,2024-03-02T14:45:00.000Z
MATCHED,Matched within tolerance,USR-005,EXC-1005,bitcoin,BTC,2024-03-03T10:00:00.000Z,2024-03-03T10:02:00.000Z
MATCHED,Matched within tolerance,USR-006,EXC-1006,USDT,USDT,2024-03-03T16:20:00.000Z,2024-03-03T16:20:00.000Z
MATCHED,Matched within tolerance,USR-007,EXC-1007,ETH,ETH,2024-03-04T09:05:00.000Z,2024-03-04T09:05:55.000Z
MATCHED,Matched within tolerance,USR-008,EXC-1008,SOL,SOL,2024-03-04T12:00:00.000Z,2024-03-04T12:00:00.000Z
MATCHED,Matched within tolerance,USR-009,EXC-1009,BTC,BTC,2024-03-05T08:30:00.000Z,2024-03-05T08:30:00.000Z
MATCHED,Matched within tolerance,USR-010,EXC-1010,ETH,ETH,2024-03-05T15:00:00.000Z,2024-03-05T15:00:00.000Z
MATCHED,Matched within tolerance,USR-011,EXC-1011,SOL,SOL,2024-03-06T10:15:00.000Z,2024-03-06T10:15:00.000Z
CONFLICTING,Quantity or timestamp exceeds tolerance,USR-012,EXC-1025,BTC,BTC,2024-03-06T13:30:00.000Z,2024-03-14T10:00:00.000Z
MATCHED,Matched within tolerance,USR-013,EXC-1013,MATIC,MATIC,2024-03-07T09:45:00.000Z,2024-03-07T09:45:00.000Z
MATCHED,Matched within tolerance,USR-014,EXC-1014,USDT,USDT,2024-03-07T14:00:00.000Z,2024-03-07T14:00:00.000Z
MATCHED,Matched within tolerance,USR-015,EXC-1015,ETH,ETH,2024-03-08T11:00:00.000Z,2024-03-08T11:00:00.000Z
CONFLICTING,Quantity or timestamp exceeds tolerance,USR-001,EXC-1023,BTC,BTC,2024-03-01T09:00:00.000Z,2024-03-13T09:15:00.000Z
MATCHED,Matched within tolerance,USR-016,EXC-1016,SOL,SOL,2024-03-08T16:45:00.000Z,2024-03-08T16:45:00.000Z
MATCHED,Matched within tolerance,USR-017,EXC-1017,BTC,BTC,2024-03-09T10:30:00.000Z,2024-03-09T10:30:00.000Z
MATCHED,Matched within tolerance,USR-020,EXC-1019,BTC,BTC,2024-03-10T13:00:00.000Z,2024-03-10T13:00:00.000Z
MATCHED,Matched within tolerance,USR-021,EXC-1020,ETH,ETH,2024-03-11T09:00:00.000Z,2024-03-11T09:00:00.000Z
MATCHED,Matched within tolerance,USR-022,EXC-1021,LINK,LINK,2024-03-11T15:20:00.000Z,2024-03-11T15:20:00.000Z
MATCHED,Matched within tolerance,USR-023,EXC-1022,MATIC,MATIC,2024-03-12T10:00:00.000Z,2024-03-12T10:00:00.000Z
CONFLICTING,Quantity or timestamp exceeds tolerance,USR-025,EXC-1012,BTC,BTC,2024-03-13T09:15:00.000Z,2024-03-06T13:30:00.000Z
EXCHANGE_ONLY,No matching user transaction found,,EXC-1018,,ETH,,2024-03-09T17:00:00.000Z
EXCHANGE_ONLY,No matching user transaction found,,EXC-1024,,ETH,,2024-03-13T18:00:00.000Z
